ID;preco;nrQuartos;nrWC;Sala_estar_m2;lote_m2;nrAndares;vista;condicao;piso_m2;arrecadacao_m2;Ano_construcao;Ano_renovacao
108;1090000;4; 3 ;101;12741; 3 ;0;3;391;0;1992;0
109;400000;2; 1 ;20;496; 1 ;0;3;76;0;1955;2005
110;220000;4; 2 ;29;864; 1 ;0;3;112;0;1971;0
111;657100;4; 1 ;32;382; 1 ;0;3;95;113;1924;2011
112;309950;4; 3 ;54;450; 2 ;0;3;208;0;2006;0
113;300000;3; 2 ;24;906; 1 ;0;3;95;0;1986;0
114;525888;5; 2 ;59;6469; 1 ;0;5;163;247;1960;0
115;740000;4; 2 ;47;324; 2 ;0;3;181;0;1902;0
116;340000;5; 1 ;26;812; 2 ;0;4;101;0;1962;0
117;398750;3; 3 ;52;360; 2 ;0;3;201;0;1954;2005
118;206000;2; 1 ;19;644; 1 ;0;5;73;0;1944;0
119;1030000;5; 3 ;74;1523; 1 ;3;3;152;500;1976;0
120;600000;3; 2 ;39;3568; 1 ;0;4;150;0;1976;1992
121;379950;4; 2 ;46;845; 1 ;0;5;103;277;1960;0
122;287000;3; 1 ;34;540; 1 ;0;4;131;0;1953;1983
124;309950;3; 3 ;44;705; 2 ;0;3;169;0;1994;0
125;600000;3; 2 ;44;572; 1 ;0;4;94;280;1945;0
126;418000;3; 2 ;33;543; 2 ;0;4;127;0;1930;0
127;449250;4; 2 ;34;346; 2 ;0;5;133;0;1928;1970
129;245000;3; 2 ;45;838; 1 ;0;3;90;307;1984;0
130;549000;4; 3 ;68;570; 2 ;0;3;262;0;2008;0
131;800000;3; 3 ;75;707; 2 ;0;3;292;0;1994;0
132;249950;3; 2 ;36;1354; 1 ;0;4;140;0;1958;1972
133;210000;5; 2 ;48;918; 1 ;0;3;129;207;1956;2001
134;1425000;2; 3 ;52;360; 2 ;0;3;200;0;2000;0
136;615000;4; 2 ;53;1053; 1 ;0;4;176;113;1977;0
137;618500;3; 2 ;42;450; 1 ;0;4;97;240;1942;1982
138;487585;4; 2 ;47;829; 1 ;0;3;132;180;1977;2004
139;509900;3; 3 ;42;243; 2 ;0;3;161;0;2010;0
140;631625;4; 3 ;57;599; 2 ;0;3;220;0;2014;0
142;340000;2; 2 ;27;129; 2 ;0;3;104;0;2001;0
143;830000;4; 3 ;79;872; 2 ;0;3;306;0;2007;0
144;890000;4; 5 ;103;518; 2 ;0;3;307;337;2006;0
145;366750;3; 3 ;37;182; 3 ;0;3;141;0;2008;0
147;416286;3; 3 ;33;89; 3 ;0;3;127;0;2005;0
149;890000;5; 4 ;104;540; 2 ;0;3;288;430;2006;0
150;419190;2; 3 ;37;128; 2 ;0;3;143;0;2014;0
152;397000;4; 2 ;33;691; 1 ;0;3;108;80;1971;0
153;450000;2; 2 ;26;270; 2 ;0;3;99;0;1912;2005
154;353000;3; 1 ;31;697; 1 ;0;4;77;163;1947;1988
155;609000;4; 3 ;50;3418; 2 ;0;3;194;0;1985;0
156;234000;3; 2 ;35;753; 1 ;0;4;91;160;1975;0
157;561000;3; 2 ;46;630; 2 ;0;3;180;0;1916;1986
158;469000;2; 1 ;24;396; 1 ;0;3;93;0;1924;2011
159;329350;2; 1 ;17;602; 1 ;0;3;65;0;1942;1999
160;488000;5; 2 ;47;450; 2 ;0;4;182;0;1938;0
161;279900;3; 2 ;37;734; 1 ;1;4;99;160;1962;0
162;606000;4; 3 ;49;1247; 2 ;0;3;190;0;1987;2000
163;312000;4; 2 ;30;635; 1 ;0;3;117;0;1950;2013
164;650000;3; 2 ;38;673; 1 ;1;3;104;157;1940;1996
165;1135000;4; 3 ;78;729; 1 ;3;3;177;467;1970;2014
166;325000;4; 3 ;44;554; 1 ;0;3;88;303;1980;0
167;425000;4; 2 ;35;718; 1 ;0;5;137;0;1967;0
168;219000;2; 1 ;21;464; 1 ;0;3;81;0;1952;2008
169;250000;3; 1 ;24;619; 1 ;0;3;95;0;1954;2005
170;390000;3; 2 ;29;585; 1 ;0;4;113;0;1966;0
171;475000;6; 3 ;81;10585; 2 ;0;3;312;0;1924;2011
172;736000;4; 3 ;53;1084; 2 ;0;4;206;0;1988;0
173;407000;4; 3 ;65;2106; 1 ;1;3;154;367;1958;2004
174;272000;3; 3 ;38;1243; 2 ;0;3;149;0;1998;2006
177;284000;4; 3 ;46;485; 2 ;0;3;180;0;2003;0
178;367500;3; 2 ;33;868; 1 ;0;3;127;0;1961;2004
179;379900;4; 2 ;35;1044; 1 ;0;4;90;167;1955;2009
181;175000;3; 1 ;23;633; 1 ;0;3;91;0;1954;2005
183;345000;4; 3 ;54;344; 2 ;0;3;210;0;2007;0
184;455000;5; 3 ;52;699; 1 ;0;3;121;300;1978;0
185;610000;4; 3 ;57;911; 1 ;0;5;142;290;1967;0
186;563000;4; 3 ;72;1393; 2 ;0;3;216;233;1996;0
187;612500;4; 2 ;48;450; 1 ;0;3;93;343;1949;2013
188;218000;3; 2 ;43;692; 1 ;0;3;119;177;1979;2014
189;404000;4; 2 ;43;965; 1 ;0;3;86;293;1958;2004
190;860000;4; 2 ;87;2918; 2 ;0;3;337;0;2000;0
192;313950;3; 1 ;35;547; 1 ;0;4;77;217;1940;2001
193;575000;3; 2 ;49;585; 1 ;2;3;105;320;1954;2005
194;1225000;4; 3 ;81;622; 2 ;0;4;205;403;1928;0
195;280000;3; 2 ;38;1062; 1 ;0;4;147;0;1971;0
196;515000;3; 3 ;42;645; 2 ;0;3;161;0;1989;0
198;599000;4; 3 ;53;2694; 2 ;0;4;126;287;1977;0
199;685000;4; 3 ;70;708; 2 ;0;3;273;0;1999;0
200;365000;3; 2 ;30;734; 1 ;0;3;118;0;1950;2005
201;762300;4; 3 ;90;1310; 2 ;0;3;349;0;1987;2000
202;1580000;4; 4 ;87;983; 2 ;0;5;216;453;1950;0
204;530000;5; 3 ;68;867; 1 ;0;4;152;407;1964;0
205;525000;3; 3 ;69;1079; 1 ;0;3;159;400;1995;0
206;484000;2; 2 ;39;540; 1 ;0;3;104;167;1942;1999
207;725126;4; 3 ;74;1113; 2 ;0;3;288;0;1998;2006
208;360000;4; 2 ;62;1689; 1 ;0;5;241;0;1965;0
209;387000;3; 1 ;29;861; 1 ;0;5;111;0;1962;0
210;483500;4; 3 ;64;4116; 2 ;0;3;247;0;1995;0
211;655500;4; 4 ;79;750; 2 ;0;3;304;0;2000;0
212;345000;3; 1 ;26;563; 1 ;0;3;100;0;1956;2001
213;533000;5; 3 ;42;340; 2 ;0;3;126;133;1926;2003
214;385000;3; 2 ;44;497; 1 ;0;3;115;207;1982;0
215;675000;2; 1 ;22;3283; 1 ;2;3;84;0;1951;1994
216;197000;3; 2 ;39;696; 1 ;0;4;95;210;1976;1992
217;485000;3; 2 ;33;367; 2 ;0;3;128;0;1905;2013
218;1870000;5; 4 ;105;1366; 2 ;0;3;406;0;1969;2002
219;295000;3; 3 ;46;720; 1 ;0;4;140;140;1974;0
220;499000;2; 2 ;27;216; 1 ;0;4;67;143;1903;0
221;1050000;3; 3 ;51;177; 2 ;0;3;145;197;2008;0
222;191000;3; 2 ;19;797; 1 ;0;4;72;0;1959;0
223;500000;3; 3 ;34;105; 3 ;0;3;133;0;2006;0
224;390000;5; 4 ;67;450; 1 ;0;3;118;527;2006;0
225;979000;3; 3 ;62;364; 3 ;0;3;242;0;2014;0
227;369950;3; 2 ;30;119; 3 ;0;3;114;0;2006;0
229;776000;4; 3 ;71;578; 2 ;0;3;274;0;2008;0
230;519950;3; 3 ;27;112; 3 ;0;3;105;0;2014;0
231;255000;5; 3 ;48;777; 1 ;0;3;93;343;1962;2003
232;495000;3; 1 ;23;540; 1 ;0;3;89;0;1943;2002
233;510000;4; 3 ;56;468; 2 ;0;3;219;0;2003;0
234;1150000;4; 4 ;104;9304; 2 ;0;3;401;0;2001;0
235;253000;3; 2 ;29;911; 1 ;0;3;113;0;1994;0
236;503000;3; 3 ;36;608; 1 ;0;5;109;110;1980;0
237;275000;3; 3 ;37;630; 2 ;0;4;144;0;1993;0
238;249000;3; 1 ;26;758; 1 ;0;3;100;0;1952;2008
239;310000;3; 2 ;43;965; 1 ;0;4;110;207;1974;0
240;750000;3; 3 ;59;486; 1 ;0;4;122;387;1946;1989
241;630000;3; 3 ;62;29442; 2 ;0;3;241;0;1995;0
242;599999;9; 5 ;89;629; 3 ;0;3;221;460;1938;2003
243;758000;4; 3 ;56;859; 1 ;0;4;160;210;1956;0
244;248500;4; 2 ;40;902; 1 ;0;5;155;0;1960;0
245;310000;3; 2 ;48;3411; 1 ;0;4;128;217;1973;0
246;460000;3; 2 ;41;815; 2 ;0;4;158;0;1985;0
247;675000;3; 2 ;39;945; 1 ;0;4;151;0;1959;0
248;526000;2; 2 ;36;216; 2 ;0;4;140;0;1900;1971
249;560000;3; 3 ;96;5435; 2 ;2;3;286;313;1994;0
250;415000;4; 3 ;43;859; 2 ;0;3;165;0;1991;0
251;246000;3; 1 ;33;667; 1 ;0;3;126;0;1944;0
252;314500;3; 2 ;43;1114; 1 ;0;4;168;0;1957;2001
253;3200000;7; 5 ;144;797; 3 ;2;5;428;483;1910;0
254;420000;2; 2 ;24;315; 2 ;0;4;94;0;1904;0
255;535000;3; 2 ;63;13447; 2 ;0;3;245;0;1988;2000
257;515000;3; 2 ;37;823; 1 ;1;4;109;123;1967;0
258;749950;4; 3 ;60;545; 2 ;0;5;176;213;1949;0
259;230000;3; 3 ;45;826; 2 ;0;3;173;0;1988;2000
261;250000;1; 1 ;26;394; 1 ;0;2;74;93;1947;0
262;581000;4; 2 ;58;1233; 1 ;0;4;115;410;1961;2001
263;651000;3; 3 ;75;9753; 2 ;0;4;292;0;1991;0
264;600000;3; 3 ;57;9801; 1 ;0;4;167;200;1977;0
265;500000;2; 1 ;23;350; 2 ;0;4;91;0;1906;1990
266;475000;2; 1 ;19;245; 1 ;0;3;74;0;1921;2000
267;352000;5; 3 ;56;770; 1 ;2;3;146;267;1978;0
268;420000;3; 3 ;41;735; 2 ;0;3;159;0;1977;2004
269;428000;2; 2 ;31;351; 1 ;0;3;122;0;2003;0
270;599000;3; 2 ;46;431; 1 ;0;4;98;290;1920;0
272;630000;2; 3 ;59;510; 1 ;0;3;155;277;2011;0
273;900000;5; 4 ;96;20347; 2 ;0;3;285;320;1985;0
274;1110000;4; 2 ;54;1197; 1 ;0;3;170;140;1950;2005
275;575000;4; 2 ;38;450; 1 ;0;3;149;0;1955;2005
276;705000;4; 3 ;62;388; 2 ;0;3;137;377;1905;2013
277;940000;4; 3 ;44;535; 1 ;1;3;132;140;1963;2008
278;313000;3; 2 ;51;720; 1 ;0;4;197;0;1967;0
279;618080;3; 3 ;47;585; 2 ;0;3;183;0;1988;2000
280;640000;3; 3 ;53;466; 2 ;0;3;192;47;2002;0
281;485000;3; 2 ;37;374; 1 ;0;4;91;200;1917;0
282;300000;2; 1 ;18;270; 1 ;0;3;68;0;1913;1983
283;379500;2; 1 ;38;1560; 1 ;0;3;76;267;1978;0
284;339950;3; 3 ;38;1107; 2 ;0;4;147;0;1985;0
286;1340000;3; 3 ;69;495; 2 ;2;3;220;173;1937;1990
287;500000;3; 3 ;45;3381; 1 ;0;4;175;0;1987;0
288;239900;3; 2 ;33;681; 1 ;0;3;127;0;1985;0
289;314950;3; 1 ;24;1529; 1 ;0;4;94;0;1968;0
290;361280;2; 1 ;19;576; 1 ;0;4;74;0;1944;0
291;100000;2; 1 ;21;1980; 1 ;0;3;82;0;1956;2001
292;540000;7; 6 ;86;688; 2 ;1;3;333;0;1948;1984
293;480500;4; 3 ;51;1008; 1 ;0;4;196;0;1968;0
294;280000;3; 3 ;37;384; 2 ;0;3;144;0;2000;0
295;440000;3; 2 ;35;556; 1 ;0;4;95;147;1947;1988
296;530000;3; 1 ;31;386; 1 ;0;3;97;87;1910;2006
297;560000;3; 2 ;43;1204; 1 ;0;3;167;0;1985;0
298;775000;3; 2 ;59;648; 2 ;3;4;144;313;1905;0
299;160000;2; 1 ;24;1179; 1 ;0;5;94;0;1912;0
300;209950;3; 2 ;32;1002; 1 ;0;3;124;0;1960;2012
301;226500;3; 2 ;38;969; 1 ;0;3;102;170;1988;2000
302;380000;5; 2 ;70;540; 1 ;0;5;135;500;1958;0
303;409500;4; 3 ;50;1170; 1 ;0;3;119;273;1968;1997
304;690000;3; 2 ;41;579; 1 ;0;4;88;260;1942;1982
305;405000;3; 3 ;39;748; 1 ;0;4;149;0;1961;2001
306;375000;3; 3 ;43;1174; 2 ;0;3;165;0;1990;2009
307;794154;4; 2 ;51;770; 1 ;1;4;109;333;1954;1979
308;185000;4; 1 ;35;594; 1 ;0;3;134;0;1969;2010
309;245000;3; 2 ;29;114; 2 ;0;3;94;73;2005;0
310;1532500;5; 5 ;99;727; 2 ;0;3;306;290;2007;0
311;1040000;4; 4 ;91;755; 2 ;0;3;351;0;2006;0
312;425000;2; 3 ;27;92; 3 ;0;3;104;0;2008;0
313;495000;4; 3 ;62;1908; 2 ;0;3;239;0;2014;0
315;417250;3; 3 ;37;131; 3 ;0;3;145;0;2009;0
316;339950;2; 1 ;19;61; 3 ;0;3;74;0;2006;0
319;980000;5; 3 ;73;1032; 1 ;0;4;160;460;1971;0
320;258000;4; 2 ;40;749; 1 ;0;3;111;167;1977;2004
321;533000;3; 1 ;39;367; 1 ;0;3;105;167;1967;2011
322;537500;4; 3 ;59;417; 2 ;0;3;230;0;2005;0
323;830000;5; 3 ;71;864; 1 ;0;5;177;357;1968;0
324;712000;3; 1 ;29;416; 2 ;0;4;104;33;1900;1971
325;262000;4; 3 ;47;561; 2 ;0;3;182;0;2002;0
326;753888;4; 3 ;62;495; 2 ;2;3;239;0;2003;0
327;134000;2; 2 ;23;450; 2 ;0;3;88;0;1922;2003
328;402000;3; 3 ;46;720; 1 ;0;4;116;223;1977;0
329;205000;2; 1 ;17;454; 1 ;0;3;65;0;1955;2005
330;553650;2; 3 ;32;121; 2 ;0;3;95;103;1997;0
331;559950;2; 2 ;43;446; 1 ;0;3;168;0;2006;0
332;260000;4; 2 ;49;792; 1 ;0;3;99;343;1962;2003
333;270000;4; 3 ;42;586; 2 ;0;3;163;0;1994;0
334;295000;2; 2 ;51;8037; 1 ;0;3;99;367;1973;2013
335;719000;3; 3 ;39;405; 2 ;1;4;152;0;1928;0
336;266000;3; 3 ;45;769; 1 ;0;3;131;160;1989;0
338;647500;4; 2 ;48;2343; 1 ;0;4;104;300;1947;1988
339;1039000;4; 1 ;79;450; 2 ;0;5;197;407;1910;0
340;569000;4; 3 ;52;3752; 2 ;0;3;203;0;1980;0
342;515000;2; 1 ;25;446; 1 ;0;3;95;0;1926;2003
343;207000;3; 1 ;35;810; 1 ;0;4;134;0;1954;1979
344;780000;4; 2 ;58;828; 1 ;0;3;125;363;1950;2005
345;489990;5; 3 ;57;1875; 2 ;0;4;220;0;1975;0
346;335000;3; 2 ;52;7886; 2 ;0;2;133;253;1980;0
347;295000;3; 3 ;45;651; 2 ;0;3;173;0;1993;0
348;385000;3; 2 ;44;893; 1 ;0;3;111;220;1944;0
349;350000;4; 2 ;52;1216; 1 ;0;4;194;33;1940;2001
351;358000;2; 2 ;22;163; 2 ;0;3;86;0;1993;0
352;716500;4; 3 ;76;582; 2 ;0;3;296;0;2002;0
353;228000;4; 2 ;46;551; 1 ;0;3;99;300;1965;1993
354;405000;2; 1 ;24;734; 1 ;0;4;92;0;1948;0
355;538000;4; 2 ;43;864; 1 ;0;3;110;207;1967;2011
357;1750000;6; 3 ;82;518; 3 ;0;4;316;0;1906;1990
360;1500000;3; 2 ;56;1148; 1 ;2;4;121;363;1952;0
361;868500;3; 3 ;68;355; 3 ;0;3;263;0;2008;0
362;530000;4; 3 ;53;257; 2 ;0;4;139;247;1930;0
363;450000;3; 2 ;35;3920; 1 ;0;3;136;0;1954;2005
364;230000;3; 2 ;22;540; 1 ;0;3;71;53;1939;1969
365;229000;3; 3 ;28;270; 2 ;0;3;107;0;2002;0
366;437000;3; 2 ;30;835; 1 ;0;4;118;0;1976;1992
367;1307000;5; 4 ;65;288; 2 ;0;5;172;297;1932;2002
368;595000;3; 3 ;41;302; 2 ;0;4;158;0;1991;0
369;660000;3; 2 ;31;518; 2 ;0;5;119;0;1918;0
370;347500;4; 3 ;57;662; 2 ;0;3;221;0;1989;0
371;297950;3; 2 ;29;972; 1 ;0;3;112;0;1967;2010
372;245000;3; 2 ;29;717; 1 ;0;4;113;0;1955;2009
373;543200;6; 3 ;66;1404; 2 ;2;5;177;283;1940;0
374;1250000;4; 4 ;89;2175; 2 ;1;4;298;170;1990;0
375;413450;3; 3 ;36;145; 3 ;0;3;132;23;2008;0
376;330000;2; 2 ;36;39204; 2 ;0;2;140;0;1972;0
377;424500;3; 2 ;34;693; 1 ;0;3;131;0;1979;2014
378;230000;3; 1 ;32;1440; 1 ;0;4;125;0;1960;2001
379;930000;3; 4 ;61;367; 2 ;0;3;166;267;1912;2000
381;835000;4; 2 ;44;626; 2 ;0;5;172;0;1941;0
382;988500;3; 3 ;47;1513; 2 ;4;3;181;0;2007;0
384;499000;2; 2 ;26;86; 2 ;0;3;84;60;2005;0
385;321950;2; 2 ;20;115; 2 ;0;3;77;0;2007;0
386;494000;3; 3 ;54;426; 2 ;0;3;208;0;2011;0
387;441750;2; 2 ;24;95; 3 ;0;3;92;0;2008;0
388;438000;2; 1 ;23;106; 2 ;0;3;88;0;2010;0
389;985000;4; 3 ;98;3399; 2 ;0;3;381;0;1989;0
390;352000;3; 3 ;38;995; 1 ;0;4;148;0;1972;0
392;765000;4; 3 ;65;974; 2 ;0;3;251;0;1996;0
393;460000;4; 2 ;41;495; 2 ;0;5;95;233;1926;0
395;254000;3; 3 ;43;414; 2 ;0;3;167;0;2003;0
396;255000;2; 1 ;22;2585; 1 ;0;4;86;0;1984;0
397;610000;3; 3 ;58;4077; 1 ;0;4;146;287;1976;1992
398;920000;4; 3 ;87;992; 2 ;0;3;338;0;1976;0
399;402500;4; 3 ;60;1076; 2 ;0;3;234;0;1988;2000
400;280950;3; 2 ;32;783; 1 ;3;4;76;183;1912;1989
401;604000;4; 3 ;53;698; 2 ;0;3;203;0;1989;0
402;565000;4; 3 ;57;670; 2 ;0;3;222;0;1984;0
404;445000;4; 2 ;38;540; 1 ;0;5;90;217;1959;0
406;195000;2; 1 ;17;1620; 1 ;0;3;65;0;1950;2005
407;275000;3; 2 ;32;4343; 1 ;0;3;125;0;1922;2013
408;387000;3; 3 ;34;145; 2 ;0;3;117;48;2003;0
409;490000;2; 1 ;43;297; 2 ;0;4;102;237;1910;0
411;303500;3; 2 ;25;942; 1 ;0;4;95;0;1973;0
412;270000;3; 2 ;35;570; 1 ;0;5;135;0;1953;0
413;323000;4; 3 ;46;649; 1 ;0;3;105;267;1977;2004
414;382000;3; 4 ;33;113; 3 ;0;3;127;0;2005;0
415;1370000;4; 3 ;86;851; 1 ;4;5;176;587;1962;0
417;260000;3; 2 ;45;727; 1 ;0;4;136;137;1969;0
418;201500;3; 1 ;27;749; 1 ;0;4;104;0;1959;0
419;1157200;4; 5 ;136;4760; 2 ;0;4;442;317;1996;0
420;536500;4; 2 ;46;360; 2 ;0;5;131;183;1926;0
421;248000;4; 3 ;50;529; 2 ;0;3;195;0;2006;0
422;532000;5; 3 ;81;5175; 1 ;0;4;211;380;1976;1992
423;580000;4; 3 ;66;564; 2 ;0;3;256;0;1998;2006
424;463000;2; 1 ;27;396; 1 ;0;4;104;0;1905;0
425;742500;4; 3 ;72;340; 2 ;0;3;180;367;1919;1996
426;260000;3; 3 ;33;1337; 1 ;0;4;92;133;1963;0
427;590000;4; 3 ;56;2925; 1 ;0;3;219;0;1993;0
428;312000;4; 3 ;45;671; 1 ;0;3;129;167;1984;0
429;566000;3; 3 ;39;913; 1 ;0;4;123;97;1980;0
430;511555;3; 2 ;33;656; 1 ;0;4;126;0;1963;0
432;290000;4; 3 ;46;1197; 1 ;0;4;108;267;1968;0
433;311100;4; 3 ;49;727; 1 ;0;4;124;250;1977;0
434;325000;3; 3 ;31;152; 3 ;0;3;122;0;2007;0
435;491300;3; 2 ;41;1021; 1 ;1;4;117;150;1987;0
436;315000;5; 2 ;54;729; 1 ;0;4;104;387;1956;0
437;360000;2; 1 ;33;7370; 1 ;0;3;106;80;1956;2001
438;330000;4; 3 ;45;341; 2 ;0;3;175;0;2003;0
439;481450;3; 2 ;33;432; 1 ;0;3;127;0;1940;1996
440;234950;3; 1 ;32;895; 1 ;0;3;122;0;1977;2004
441;251000;3; 2 ;28;653; 1 ;0;3;110;0;1962;2003
442;782000;4; 3 ;66;1831; 2 ;0;3;178;283;1979;2014
443;833000;4; 3 ;88;928; 2 ;0;3;340;0;1999;0
444;542500;4; 3 ;54;1286; 2 ;0;4;210;0;1978;2000
445;851000;3; 3 ;83;9656; 2 ;0;3;320;0;1987;2000
446;325000;4; 2 ;34;6372; 1 ;0;3;132;0;1976;0
447;415000;4; 3 ;71;4391; 2 ;0;3;275;0;1992;0
448;252500;3; 1 ;24;551; 1 ;0;3;79;50;1947;2012
449;465000;4; 3 ;45;869; 1 ;0;4;174;0;1968;0
450;336900;3; 2 ;41;10859; 1 ;0;4;160;0;1979;0
